NAME,BOYS 2012 RANK,GIRLS 2012 RANK,BOYS 2022 RANK,GIRLS 2022 RANK
Darren,423,N/A,852,N/A
Darryl,946,N/A,N/A,N/A
Darwin,856,N/A,987,N/A
Dash,N/A,N/A,827,N/A
Davian,777,N/A,967,N/A
David,19,N/A,31,N/A
Davin,769,N/A,N/A,N/A
Davina,N/A,N/A,N/A,563
Davion,647,N/A,N/A,N/A
Davis,416,N/A,631,N/A
Davon,956,N/A,N/A,N/A
Dawson,315,N/A,183,N/A
Dax,634,N/A,444,N/A
Daxton,620,N/A,334,N/A
Dayana,N/A,441,N/A,547
Dayton,603,N/A,N/A,N/A
Deacon,679,N/A,515,N/A
Dean,260,N/A,163,N/A
Deandre,511,N/A,N/A,N/A
Deangelo,869,N/A,N/A,N/A
Deanna,N/A,916,N/A,N/A
Deborah,N/A,797,N/A,918
Declan,143,N/A,114,N/A
Deegan,926,N/A,N/A,N/A
Delaney,N/A,257,N/A,242
Delilah,N/A,154,N/A,58
Della,N/A,N/A,N/A,657
Demarcus,950,N/A,N/A,N/A
Demetrius,618,N/A,979,N/A
Demi,N/A,795,N/A,400
Denise,N/A,684,N/A,N/A
Dennis,427,N/A,653,N/A
Denver,N/A,N/A,480,860
Denzel,994,N/A,N/A,N/A
Deon,985,N/A,N/A,N/A
Derek,182,N/A,298,N/A
Derick,907,N/A,N/A,N/A
Derrick,313,N/A,715,N/A
Deshawn,757,N/A,N/A,N/A
Desiree,N/A,616,N/A,N/A
Desmond,339,N/A,363,N/A
Destinee,N/A,792,N/A,N/A
Destiny,N/A,113,N/A,391
Devan,986,N/A,N/A,N/A
Devin,173,N/A,423,N/A
Devon,397,N/A,837,N/A
Devyn,N/A,991,N/A,N/A
Dexter,362,N/A,692,N/A
Diamond,N/A,786,N/A,N/A
Diana,N/A,251,N/A,228
Diego,110,N/A,124,N/A
Dilan,N/A,N/A,818,N/A
Dillon,354,N/A,726,N/A
Dion,N/A,N/A,903,N/A
Dior,N/A,N/A,840,641
Dixie,N/A,852,N/A,N/A
Dominic,70,N/A,102,N/A
Dominick,262,N/A,527,N/A
Dominik,501,N/A,N/A,N/A
Dominique,801,N/A,N/A,N/A
Donald,400,N/A,676,N/A
Donovan,275,N/A,446,N/A
Donte,914,N/A,N/A,N/A
Dorian,558,N/A,565,N/A
Dorothy,N/A,922,N/A,487
Douglas,572,N/A,828,N/A
Drake,231,N/A,630,N/A
Draven,763,N/A,N/A,N/A
Dream,N/A,N/A,N/A,336
Drew,282,N/A,523,840
Duke,N/A,N/A,679,N/A
Dulce,N/A,574,N/A,784
Duncan,835,N/A,924,N/A
Dustin,377,N/A,632,N/A
Dutton,N/A,N/A,835,N/A
Dwayne,739,N/A,N/A,N/A
Dylan,31,512,41,576
Ean,876,N/A,N/A,N/A
Easton,96,N/A,80,N/A
Eddie,544,N/A,829,N/A
Eden,677,164,411,117
Edgar,268,N/A,418,N/A
Edison,753,N/A,740,N/A
Edith,N/A,762,N/A,513
Eduardo,204,N/A,340,N/A
Edward,157,N/A,216,N/A
Edwin,271,N/A,358,N/A
Efrain,881,N/A,N/A,N/A
Egypt,N/A,N/A,N/A,961
Eileen,N/A,824,N/A,621
Eithan,N/A,N/A,500,N/A
Elaina,N/A,337,N/A,254
Elaine,N/A,704,N/A,465
Eleanor,N/A,135,N/A,16
Elena,N/A,139,N/A,49
Eli,44,N/A,69,N/A
Elia,N/A,N/A,N/A,931
Eliam,N/A,N/A,672,N/A
Elian,843,N/A,300,N/A
Eliana,N/A,145,N/A,41
Elianna,N/A,732,N/A,334
Elias,114,N/A,43,N/A
Eliel,N/A,N/A,810,N/A
Elijah,13,N/A,5,N/A
Elin,N/A,798,N/A,N/A
Elina,N/A,N/A,N/A,853
Elio,N/A,N/A,877,N/A
Eliot,935,N/A,N/A,N/A
Elisa,N/A,366,N/A,408
Elisabeth,N/A,617,N/A,973
Elise,N/A,151,N/A,259
Eliseo,940,N/A,685,N/A
Elisha,732,N/A,822,N/A
Elissa,N/A,888,N/A,N/A
Eliza,N/A,225,N/A,122
Elizabeth,N/A,10,N/A,15
Ella,N/A,12,N/A,25
Elle,N/A,383,N/A,392
Ellen,N/A,745,N/A,N/A
Elliana,N/A,300,N/A,131
Ellianna,N/A,N/A,N/A,668
Ellie,N/A,84,N/A,33
Elliot,242,862,150,788
Elliott,277,N/A,168,628
Ellis,612,N/A,307,698
Elodie,N/A,N/A,N/A,690
Eloise,N/A,364,N/A,86
Elora,N/A,N/A,N/A,515
Elowyn,N/A,N/A,N/A,877
Elsa,N/A,551,N/A,994
